island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima4,4,,,,,1,761,896,1,1,not_triggered,46.57,34.8,0.747,,,,1139.7,117.068,10.272,248,21.76,0.974,1,0.166,1,9.78,38.62,5,0.898,1.31,,236,12,8,9.579,0.692,0.472,0.1362,9.362,0.0,902,315.082,27.645,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,46.567,31.835,1139.784,5.588,40.894,29.718,29.041,19.643,9.46,70.28,0.2313,1.5129,1.4082,11.108,0.043,0.12,0.9335,0.3792,5,opened_or_broad,flat_span_over_pi,0.9589,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,2,1636,903,2,1,not_triggered,36.83,31.92,0.867,,,,750.9,131.118,17.46,288,38.352,0.986,1,0.376,1,8.11,30.03,5,0.905,1.14,,219,69,4,12.481,4.979,0.4553,0.0573,47.2401,0.0,582,390.516,52.003,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,36.83,29.489,750.924,5.59,31.155,21.675,25.654,13.123,6.899,37.385,0.2215,1.6516,1.2144,18.389,8.619,0.1518,0.735,0.3676,5,opened_or_broad,flat_span_over_pi,0.1443,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,3,1675,1502,4,1,not_triggered,34.46,27.6,0.801,,,,733.8,250.523,34.141,274,37.34,0.995,1,0.027,0,16.39,24.12,3,0.92,1.23,,217,57,6,27.204,6.937,0.9143,0.1111,120.8816,0.0,1054,422.48,57.574,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,34.459,26.924,733.798,8.625,25.75,25.654,26.585,14.055,8.166,52.372,0.3171,1.8253,0.9686,39.915,14.369,0.2503,0.9528,0.4695,3,opened_or_broad,flat_span_over_pi,0.1471,shape_end_complexity,profile_fallback,sinus,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,4,830,1540,3,1,not_triggered,44.87,32.85,0.732,,,,1100.1,90.925,8.265,232,21.088,0.957,1,0.372,1,8.73,40.95,5,0.938,1.36,,196,36,6,7.328,0.937,0.3919,0.1541,6.853,0.0,800,293.67,26.694,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,44.873,32.597,1100.156,5.385,39.404,31.496,28.194,16.933,10.025,78.941,0.2544,1.86,1.3976,9.064,0.146,0.12,0.9662,0.341,5,opened_or_broad,flat_span_over_pi,0.1081,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,5,850,2142,5,1,not_triggered,41.4,34.12,0.824,,,,1056.9,401.491,37.986,235,22.234,0.996,1,0.024,0,6.95,37.38,7,0.949,1.14,,79,156,5,25.197,12.789,1.7085,0.0789,323.1537,0.0,1363,543.877,51.458,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,41.402,33.867,1056.938,4.968,36.349,29.125,30.649,19.05,9.271,67.504,0.2551,1.5289,1.186,39.736,13.223,0.12,0.86,0.4661,7,opened_or_broad,flat_span_over_pi,0.367,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,6,1460,2131,7,1,not_triggered,22.69,10.08,0.444,check,,check,90.5,5.319,5.879,10,11.052,0.487,1,0.073,0,2.8,6.57,4,0.506,2.03,,8,2,1,4.92,0.959,0.5319,0.0896,4.0072,0.0,23,12.516,13.833,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,22.691,9.313,90.473,4.651,17.955,9.821,1.355,2.032,6.252,30.704,0.3482,4.8333,13.2539,7.753,1.731,0.205,1.0545,0.6382,9,folded_half,2x_flat_span_over_pi,0.1333,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,7,1853,2123,6,1,not_triggered,35.81,26.59,0.743,,,,687.2,200.043,29.108,182,26.482,0.981,1,0.019,0,7.28,24.1,4,0.909,1.29,,148,34,7,24.894,4.214,1.0991,0.2079,35.8494,0.0,957,322.487,46.925,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,35.814,25.908,687.196,5.482,30.248,17.018,25.739,16.595,5.417,23.047,0.1791,1.0255,1.1752,28.499,40.862,0.1531,0.6569,0.5539,4,opened_or_broad,flat_span_over_pi,0.2057,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,8,865,2692,8,1,not_triggered,42.08,30.82,0.732,,,,924.7,391.046,42.29,234,25.306,0.885,1,0.018,0,14.18,29.85,1,0.954,1.29,,82,152,3,27.135,15.155,1.6711,0.0573,341.1322,0.0,1302,533.985,57.748,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,42.079,30.226,924.795,8.555,33.44,28.702,27.263,8.975,9.136,65.556,0.2732,3.1981,1.2266,47.409,20.326,0.2033,0.9496,0.5275,6,opened_or_broad,flat_span_over_pi,0.1319,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,9,1855,2664,9,1,not_triggered,40.13,31.58,0.787,,,,771.2,129.634,16.809,189,24.507,0.922,1,0.019,0,20.05,15.52,2,0.868,1.05,,178,11,10,15.549,1.26,0.6859,0.1935,23.448,0.0,803,238.53,30.929,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,40.132,30.086,771.11,5.385,34.662,8.551,29.379,15.325,2.722,5.819,0.0785,0.558,1.1798,17.023,0.0,0.1342,0.2842,0.5583,5,opened_or_broad,flat_span_over_pi,0.1724,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima4,4,,,,,10,1795,3090,10,1,not_triggered,33.36,30.65,0.919,,,,759.7,79.849,10.51,148,19.481,0.916,1,0.113,1,8.44,28.94,4,0.883,1.06,,135,13,5,9.574,0.936,0.5395,0.1613,15.0824,0.0,564,206.709,27.209,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,,33.359,30.34,759.698,4.003,29.271,25.908,28.109,15.155,8.247,53.414,0.2817,1.7095,1.0413,11.314,0.055,0.12,0.8539,0.3091,4,opened_or_broad,flat_span_over_pi,0.1952,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
