island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima13~15,1,132,106,26,0,12.774,1.749,1.342,0.407,18.073,0.0968,0.0573,0.9534,0.0,1,245,191.061,26.159,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,2,181,171,10,6,84.609,12.929,12.016,0.912,27.657,0.4675,0.1362,5.8136,0.0,1,558,211.376,32.299,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,3,213,195,18,0,30.753,2.992,2.662,0.329,20.72,0.1444,0.0717,1.5699,0.0,1,455,277.871,27.031,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,4,167,155,12,7,88.057,12.691,11.805,0.886,24.069,0.5273,0.1434,9.1469,0.0,1,576,210.975,30.406,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,5,235,145,90,9,335.154,38.879,24.835,14.043,27.261,1.4262,0.129,193.2542,0.0,1,1906,492.781,57.164,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,6,240,180,60,12,307.211,30.054,23.666,6.388,23.478,1.28,0.1792,127.1683,0.0,1,1389,538.759,52.705,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,7,349,241,108,9,202.724,24.802,16.666,8.136,42.698,0.5809,0.0789,74.8673,0.0,1,1103,420.86,51.49,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,8,217,155,62,7,335.505,31.891,27.23,4.661,20.627,1.5461,0.1864,108.1432,0.0,1,1383,498.064,47.343,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,9,318,228,90,20,347.161,32.901,25.978,6.923,30.137,1.0917,0.1935,89.0322,0.0,1,1685,547.605,51.897,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,10,234,228,6,0,54.251,5.088,4.733,0.355,21.946,0.2318,0.1147,1.9068,0.0,1,627,227.405,21.328,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,11,277,254,23,2,93.032,7.45,6.906,0.544,22.182,0.3359,0.1075,10.9892,0.0,1,846,356.745,28.568,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,12,236,217,19,1,61.878,5.7,5.076,0.624,21.741,0.2622,0.086,6.2222,0.0,1,857,317.068,29.209,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
Oshima,oshima13~15,13,296,286,10,5,116.186,11.344,10.467,0.877,28.901,0.3925,0.1613,8.1864,0.0,1,1065,351.569,34.327,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,
