island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Oshima,oshima4,1,248,236,12,8,117.068,10.272,9.579,0.692,21.76,0.472,0.1362,9.362,0.0,1,902,315.082,27.645,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,2,288,219,69,4,131.118,17.46,12.481,4.979,38.352,0.4553,0.0573,47.2401,0.0,1,582,390.516,52.003,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,3,274,217,57,6,250.523,34.141,27.204,6.937,37.34,0.9143,0.1111,120.8816,0.0,1,1054,422.48,57.574,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,4,232,196,36,6,90.925,8.265,7.328,0.937,21.088,0.3919,0.1541,6.853,0.0,1,800,293.67,26.694,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,5,235,79,156,5,401.491,37.986,25.197,12.789,22.234,1.7085,0.0789,323.1537,0.0,1,1363,543.877,51.458,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,6,10,8,2,1,5.319,5.879,4.92,0.959,11.052,0.5319,0.0896,4.0072,0.0,1,23,12.516,13.833,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,7,182,148,34,7,200.043,29.108,24.894,4.214,26.482,1.0991,0.2079,35.8494,0.0,1,957,322.487,46.925,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,8,234,82,152,3,391.046,42.29,27.135,15.155,25.306,1.6711,0.0573,341.1322,0.0,1,1302,533.985,57.748,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,9,189,178,11,10,129.634,16.809,15.549,1.26,24.507,0.6859,0.1935,23.448,0.0,1,803,238.53,30.929,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
Oshima,oshima4,10,148,135,13,5,79.849,10.51,9.574,0.936,19.481,0.5395,0.1613,15.0824,0.0,1,564,206.709,27.209,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,370,
