island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima6~8,1,140,126,14,7,116.387,27.237,24.456,2.781,32.763,0.8313,0.1828,29.2616,0.0,1,598,183.097,42.849,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,2,111,85,26,9,117.52,26.523,22.844,3.679,25.052,1.0587,0.2079,26.8458,0.0,1,523,182.2,41.121,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,3,124,105,19,4,60.029,8.11,7.138,0.972,16.752,0.4841,0.086,17.8853,0.0,1,479,171.727,23.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,4,154,137,17,1,51.971,12.333,10.334,1.999,36.544,0.3375,0.1577,5.1828,0.0,1,400,145.692,34.573,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,5,147,127,20,4,117.089,24.213,22.381,1.832,30.398,0.7965,0.1075,70.7741,0.0,1,526,188.889,39.06,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,6,151,138,13,4,87.677,12.501,11.667,0.834,21.529,0.5806,0.1075,26.9319,0.0,1,509,176.939,25.227,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,7,113,101,12,3,65.29,11.725,10.779,0.946,20.293,0.5778,0.0932,30.5376,0.0,1,342,118.975,21.366,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,8,73,69,4,1,49.591,13.955,13.097,0.857,20.542,0.6793,0.0932,32.9032,0.0,1,201,85.362,24.02,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,9,143,136,7,0,40.516,6.198,5.621,0.577,21.875,0.2833,0.1577,2.0932,0.0,1,448,106.91,16.354,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,10,109,107,2,0,10.394,1.207,1.083,0.123,12.654,0.0954,0.043,1.0753,0.0,1,211,84.122,9.765,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,11,70,70,0,0,4.896,0.698,0.612,0.087,9.986,0.0699,0.043,0.3513,0.0,1,0,4.896,0.698,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,12,211,209,2,1,49.154,6.669,6.276,0.393,28.626,0.233,0.1004,4.0645,0.0,1,492,134.602,18.261,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,13,74,72,2,0,6.71,1.124,1.023,0.101,12.393,0.0907,0.043,1.233,0.0,1,153,45.14,7.56,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,14,103,99,4,0,10.1,1.232,1.107,0.125,12.561,0.0981,0.0502,1.9785,0.0,1,190,45.921,5.6,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,15,13,13,0,0,1.233,0.244,0.238,0.006,2.574,0.0948,0.0502,0.4588,0.0,0,0,1.233,0.244,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
Toshima,toshima6~8,16,22,21,1,0,1.097,0.132,0.107,0.025,2.652,0.0499,0.0358,0.2437,0.0,0,0,1.097,0.132,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,800,1616.72
