sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_angle_deg,roi_fill_ratio,qc_flag
kozu1,1,opened_full,21.66,29.33,478.8,29.33,478.8,84.16,0.7537,
kozu1,2,opened_full,23.27,28.92,482.2,28.92,482.2,80.38,0.7164,
kozu1,3,opened_full,17.34,26.11,331.7,26.11,331.7,91.53,0.7326,
kozu1,4,opened_full,17.39,29.0,375.2,29.0,375.2,88.07,0.7439,
kozu1,5,opened_full,16.28,23.13,293.0,23.13,293.0,91.46,0.7783,
kozu1,6,opened_full,23.84,31.31,549.9,31.31,549.9,78.98,0.7367,
kozu1,7,opened_full,22.36,30.54,512.1,30.54,512.1,93.01,0.7501,
kozu1,8,opened_full,24.34,31.23,588.1,31.23,588.1,90.27,0.7735,
kozu1,9,opened_full,20.82,28.11,436.4,28.11,436.4,81.38,0.7457,
kozu1,10,opened_full,20.15,27.86,419.4,27.86,419.4,91.99,0.7469,
kozu2,1,opened_full,28.32,42.11,787.2,42.11,787.2,66.56,0.6601,
kozu2,2,opened_full,27.83,41.75,814.4,41.75,814.4,75.91,0.701,
kozu2,3,opened_full,26.64,40.89,721.1,40.89,721.1,63.14,0.6619,
kozu2,4,opened_full,25.18,44.13,767.6,44.13,767.6,81.21,0.6907,
kozu2,5,opened_full,32.91,46.59,1087.7,46.59,1087.7,88.24,0.7093,
kozu2,6,opened_full,33.85,49.7,1095.3,49.7,1095.3,68.53,0.651,
kozu2,7,opened_full,28.64,42.13,828.9,42.13,828.9,106.4,0.687,
kozu2,8,opened_full,26.55,43.43,807.0,43.43,807.0,73.9,0.6998,
kozu2,9,opened_full,27.09,43.69,880.9,43.69,880.9,90.0,0.7442,
niijiama1-2,1,folded_half,32.72,23.59,583.6,47.18,1167.2,89.36,0.7561,
niijiama1-2,2,folded_half,35.04,25.57,681.9,51.14,1363.8,82.28,0.7612,
niijiama1-2,3,folded_half,32.23,24.69,583.0,49.38,1166.0,69.72,0.7325,
niijiama1-2,4,folded_half,29.19,23.6,498.0,47.2,996.0,73.54,0.7228,
niijiama1-2,5,folded_half,29.95,26.67,574.0,53.34,1148.0,86.89,0.7186,
niijiama1-2,6,folded_half,31.72,26.27,619.3,52.54,1238.6,90.63,0.7433,
niijiama1-2,7,folded_half,30.85,25.08,599.4,50.16,1198.8,103.15,0.7747,
niijiama1-2,8,folded_half,28.06,26.42,526.4,52.84,1052.8,92.25,0.71,
niijiama1-2,9,folded_half,26.35,22.22,436.8,44.44,873.6,104.04,0.7462,
niijiama1-2,10,folded_half,32.75,31.17,727.5,62.34,1455.0,84.21,0.7128,
niijiama1-2,11,folded_half,30.56,24.65,568.0,49.3,1136.0,98.33,0.7541,
niijiama1-2,12,folded_half,26.3,25.33,514.0,50.66,1028.0,91.93,0.7714,
niijiama1-2,13,folded_half,25.82,23.54,450.8,47.08,901.6,90.0,0.7416,
niijiama1-2,14,folded_half,29.05,23.34,508.9,46.68,1017.8,98.95,0.7505,
niijiama1-2,15,folded_half,28.3,23.45,473.8,46.9,947.6,102.72,0.714,
niijiama1-2,16,folded_half,25.14,22.93,451.2,45.86,902.4,79.63,0.7825,
niijiama1-2,17,opened_full,27.48,51.97,865.0,51.97,865.0,72.07,0.6057,roi_trimmed_to_petal
niijiama2-4,1,folded_half,26.32,20.37,423.9,40.74,847.8,93.18,0.7907,
niijiama2-4,2,folded_half,25.22,19.98,367.7,39.96,735.4,98.56,0.7298,
niijiama2-4,3,folded_half,28.25,17.08,361.3,34.16,722.6,94.18,0.7487,
niijiama2-4,4,folded_half,25.4,19.56,387.7,39.12,775.4,90.0,0.7804,
niijiama2-4,5,folded_half,27.34,24.66,482.2,49.32,964.4,82.29,0.7153,
niijiama2-4,6,folded_half,24.89,19.3,391.5,38.6,783.0,90.0,0.8148,
niijiama2-4,7,folded_half,25.0,21.67,437.4,43.34,874.8,100.3,0.8076,
niijima2,1,folded_half,29.82,25.73,569.9,51.46,1139.8,89.25,0.7428,
niijima2,2,folded_half,30.24,24.18,533.2,48.36,1066.4,82.29,0.7292,
niijima2,3,folded_half,32.41,23.88,546.0,47.76,1092.0,84.29,0.7056,
niijima2,4,folded_half,38.93,32.76,916.9,65.52,1833.8,83.02,0.7191,
niijima2,5,folded_half,32.49,29.57,679.0,59.14,1358.0,88.47,0.7069,
niijima2,6a,folded_half,39.88,33.36,940.8,66.72,1881.6,90.0,0.7072,split_from_merged_pair
niijima2,6b,folded_half,34.51,28.8,756.6,57.6,1513.2,86.95,0.7612,split_from_merged_pair
niijima2,7,folded_half,35.7,27.48,671.3,54.96,1342.6,96.99,0.6843,
niijima2,8,folded_half,31.41,29.29,707.1,58.58,1414.2,90.0,0.7684,roi_area_reconstructed
niijima2,9a,folded_half,32.85,29.29,760.0,58.58,1520.0,90.0,0.7897,split_from_merged_pair
niijima2,9b,folded_half,29.53,27.23,617.3,54.46,1234.6,99.37,0.7678,split_from_merged_pair
niijima2,10,folded_half,31.48,28.14,642.7,56.28,1285.4,99.27,0.7256,
niijima2,11,folded_half,31.63,26.89,585.3,53.78,1170.6,99.7,0.6882,
niijima2,12,folded_half,27.84,23.99,550.8,47.98,1101.6,95.58,0.8245,
niijima2,13,folded_half,29.21,23.04,495.7,46.08,991.4,95.07,0.7366,
niijima2,14,folded_half,29.16,25.96,540.0,51.92,1080.0,79.48,0.7134,
niijima2,15,folded_half,27.48,24.64,488.3,49.28,976.6,80.42,0.7213,
oshima1(2),1,folded_half,38.62,25.46,714.7,50.92,1429.4,82.87,0.7269,
oshima1(2),2,folded_half,36.87,26.93,713.6,53.86,1427.2,77.18,0.7186,
oshima1(2),3,folded_half,49.99,33.85,1211.2,67.7,2422.4,91.62,0.7157,
oshima1(2),4,folded_half,42.59,31.22,974.0,62.44,1948.0,76.18,0.7325,
oshima1(2),5,folded_half,38.86,29.92,924.1,59.84,1848.2,75.91,0.7948,
oshima1,1,folded_half,49.99,34.66,1272.1,69.32,2544.2,99.87,0.7342,
oshima1,2,folded_half,47.4,34.45,1218.1,68.9,2436.2,83.11,0.746,
oshima1,3,folded_half,45.71,37.23,1231.4,74.46,2462.8,92.67,0.7237,
oshima1,4,folded_half,45.52,30.98,1101.4,61.96,2202.8,90.48,0.781,
oshima10-13,1,folded_half,33.85,22.28,580.1,44.56,1160.2,66.1,0.7693,
oshima10-13,2,folded_half,39.77,26.38,809.3,52.76,1618.6,97.02,0.7717,
oshima10-13,3,folded_half,39.59,27.3,856.7,54.6,1713.4,83.76,0.7929,
oshima10-13,4,folded_half,39.72,27.19,862.2,54.38,1724.4,87.56,0.7982,
oshima10-13,5,folded_half,36.7,27.8,815.2,55.6,1630.4,104.4,0.7992,
oshima10-13,6,folded_half,38.14,24.82,724.1,49.64,1448.2,79.11,0.7651,
oshima10-13,7,folded_half,39.39,25.94,799.3,51.88,1598.6,93.42,0.7822,
oshima10-13,8,folded_half,24.54,21.17,419.2,42.34,838.4,85.88,0.8068,
oshima10-13,9,folded_half,23.9,21.08,394.0,42.16,788.0,99.21,0.7824,
oshima10-13,10,folded_half,31.26,23.21,589.0,46.42,1178.0,93.77,0.8117,
oshima10-13,11,folded_half,34.12,22.35,549.3,44.7,1098.6,90.0,0.7203,
oshima10-13,12,folded_half,32.24,23.82,611.5,47.64,1223.0,97.39,0.7965,
oshima10-13,13,folded_half,36.91,23.28,689.3,46.56,1378.6,81.67,0.8022,
oshima10-13,14,folded_half,42.25,26.42,903.6,52.84,1807.2,90.0,0.8097,
oshima10-13,15,folded_half,41.17,24.98,864.3,49.96,1728.6,88.03,0.8402,
oshima10-13,16,folded_half,34.83,22.61,600.5,45.22,1201.0,98.84,0.7624,
oshima10-13,17,folded_half,36.58,27.69,880.3,55.38,1760.6,90.0,0.8693,roi_area_reconstructed
oshima10-13,18,folded_half,33.12,26.13,677.6,52.26,1355.2,85.91,0.7828,
oshima13-15,1,folded_half,32.02,23.89,595.8,47.78,1191.6,73.99,0.7789,
oshima13-15,2,folded_half,40.8,30.7,914.9,61.4,1829.8,104.26,0.7304,
oshima13-15,3,folded_half,33.87,26.12,704.0,52.24,1408.0,70.76,0.7956,
oshima13-15,4,folded_half,29.42,26.16,615.7,52.32,1231.4,84.54,0.8001,
oshima13-15,5,folded_half,37.68,28.87,880.3,57.74,1760.6,90.0,0.8092,
oshima13-15,6,folded_half,43.98,31.43,1065.1,62.86,2130.2,96.01,0.7705,
oshima13-15,7,folded_half,37.55,26.31,816.9,52.62,1633.8,90.8,0.8268,
oshima13-15,8,folded_half,43.46,28.68,987.9,57.36,1975.8,94.61,0.7926,
oshima13-15,9,folded_half,42.63,32.19,1105.0,64.38,2210.0,88.61,0.8052,
oshima13-15,10,folded_half,47.95,27.51,1048.3,55.02,2096.6,94.32,0.7947,
oshima13-15,11,folded_half,48.71,31.7,1155.7,63.4,2311.4,85.0,0.7484,
oshima13-15,12,folded_half,44.39,32.23,1081.3,64.46,2162.6,83.23,0.7557,
oshima13-15,13,folded_half,44.28,30.07,1018.8,60.14,2037.6,78.29,0.7651,
oshima4,1,folded_half,46.21,32.19,1165.8,64.38,2331.6,85.15,0.7839,
oshima4,2,folded_half,35.08,28.04,765.3,56.08,1530.6,88.67,0.7781,
oshima4,3,folded_half,35.81,28.02,764.5,56.04,1529.0,90.0,0.7617,
oshima4,4,folded_half,46.31,32.0,1095.4,64.0,2190.8,65.08,0.7391,
oshima4,5,folded_half,39.54,33.78,1070.3,67.56,2140.6,90.0,0.8013,
oshima4,6,folded_half,34.72,25.95,696.2,51.9,1392.4,87.04,0.7728,
oshima4,7,folded_half,38.04,31.55,940.4,63.1,1880.8,83.33,0.7835,
oshima4,8a,folded_half,31.85,30.85,755.5,61.7,1511.0,79.76,0.7689,split_from_merged_pair
oshima4,8b,folded_half,34.43,30.47,732.0,60.94,1464.0,85.99,0.6976,split_from_merged_pair
oshima5,1,folded_half,31.77,27.38,669.7,54.76,1339.4,97.59,0.7699,
oshima5,2,folded_half,32.78,24.0,624.6,48.0,1249.2,72.18,0.7938,roi_open_outline
oshima5,3,folded_half,31.55,23.49,564.0,46.98,1128.0,87.84,0.761,
oshima5,4,folded_half,33.78,27.56,769.7,55.12,1539.4,101.12,0.8267,
oshima5,5,folded_half,32.71,29.08,757.7,58.16,1515.4,98.7,0.7965,
oshima6,1,folded_half,36.03,27.27,729.3,54.54,1458.6,72.42,0.7422,
oshima6,2,folded_half,31.7,23.07,565.4,46.14,1130.8,81.32,0.7731,
oshima6,3,folded_half,35.39,25.57,671.5,51.14,1343.0,90.0,0.7421,
oshima6,4,folded_half,31.37,24.14,605.7,48.28,1211.4,93.27,0.7998,
oshima6,5,folded_half,32.42,21.9,543.5,43.8,1087.0,108.08,0.7653,
oshima6,6,folded_half,30.21,25.4,562.5,50.8,1125.0,94.95,0.7331,
oshima7,1,folded_half,28.28,24.57,536.8,49.14,1073.6,75.18,0.7726,
oshima7,2,folded_half,29.64,23.59,544.3,47.18,1088.6,73.13,0.7782,
oshima7,3,folded_half,27.64,25.61,533.2,51.22,1066.4,94.48,0.7532,
oshima7,4,folded_half,27.56,26.36,538.5,52.72,1077.0,76.41,0.7413,
oshima7,5,folded_half,29.09,27.67,560.4,55.34,1120.8,86.45,0.6963,
oshima7,6,folded_half,33.8,25.77,690.0,51.54,1380.0,90.59,0.7922,
oshima8-9,1,folded_half,30.29,19.9,510.6,39.8,1021.2,76.29,0.8469,
oshima8-9,2,folded_half,34.97,21.51,571.5,43.02,1143.0,90.0,0.76,
oshima8-9,3,folded_half,33.31,22.61,620.4,45.22,1240.8,116.06,0.8237,
oshima8-9,4,folded_half,34.74,28.74,759.8,57.48,1519.6,99.43,0.7612,
oshima8-9,5,folded_half,28.8,20.71,461.9,41.42,923.8,99.24,0.7743,
oshima8-9,6,folded_half,33.73,23.96,676.3,47.92,1352.6,94.48,0.837,
oshima8-9,7,folded_half,31.75,25.05,585.1,50.1,1170.2,69.1,0.7357,
oshima8-9,8,folded_half,30.53,25.3,591.7,50.6,1183.4,87.14,0.7658,
oshima8-9,9,folded_half,44.19,26.52,909.9,53.04,1819.8,87.92,0.7765,
oshima8-9,10,folded_half,34.64,29.19,793.3,58.38,1586.6,88.3,0.7848,
oshima8-9,11,folded_half,33.47,26.73,719.9,53.46,1439.8,96.3,0.8048,
oshima8-9,12,folded_half,42.15,28.79,938.1,57.58,1876.2,95.99,0.7732,
oshima8-9,13,folded_half,43.81,29.58,1041.4,59.16,2082.8,95.92,0.8036,
oshima8-9,14,folded_half,38.42,21.87,718.9,43.74,1437.8,93.26,0.8556,
oshima8,1,folded_half,28.51,21.11,474.6,42.22,949.2,82.29,0.7885,
oshima8,2,folded_half,32.9,25.43,700.8,50.86,1401.6,88.56,0.8374,
oshima8,3,folded_half,35.87,25.39,696.1,50.78,1392.2,91.66,0.7642,
oshima8,4,folded_half,29.97,21.59,591.2,43.18,1182.4,90.0,0.9137,roi_area_reconstructed
oshima8,5,folded_half,39.32,27.91,916.7,55.82,1833.4,88.71,0.8355,
oshima8,6,folded_half,36.76,24.01,695.0,48.02,1390.0,84.71,0.7876,
oshima8,7,folded_half,37.53,28.64,766.1,57.28,1532.2,118.33,0.7128,roi_area_reconstructed
oshima8,8,folded_half,40.92,28.28,918.1,56.56,1836.2,97.85,0.7933,
shikine1,1,opened_full,19.84,32.55,402.6,32.55,402.6,86.4,0.6232,
shikine1,2,folded_half,26.79,20.56,414.6,41.12,829.2,77.97,0.7525,
shikine1,3,folded_half,23.71,19.62,366.8,39.24,733.6,93.58,0.7885,
shikine1,4,opened_full,24.32,40.64,729.2,40.64,729.2,90.56,0.7379,
shikine1,5,opened_full,26.49,40.13,770.1,40.13,770.1,79.14,0.7245,
shikine1,6,opened_full,43.08,55.72,1631.6,55.72,1631.6,71.94,0.6797,
toshima1-2,1,folded_half,28.25,18.09,434.8,36.18,869.6,90.92,0.8508,
toshima1-2,2,folded_half,24.71,15.86,322.3,31.72,644.6,90.8,0.8224,
toshima1-2,3,folded_half,28.56,20.66,463.7,41.32,927.4,95.16,0.7856,
toshima1-2,4,folded_half,30.34,17.6,427.8,35.2,855.6,91.92,0.801,
toshima1-2,5,folded_half,25.4,16.26,320.8,32.52,641.6,90.0,0.777,
toshima1-2,6,folded_half,28.79,20.66,480.8,41.32,961.6,90.0,0.8085,
toshima1-2,7,folded_half,31.73,23.1,539.5,46.2,1079.0,94.17,0.7361,
toshima1-2,8,folded_half,24.18,19.14,380.3,38.28,760.6,88.33,0.8217,
toshima1-2,9,folded_half,30.5,20.6,493.1,41.2,986.2,76.96,0.7849,
toshima1-2,10,folded_half,34.78,27.26,719.1,54.52,1438.2,87.03,0.7584,
toshima1-2,11,folded_half,32.4,23.17,588.3,46.34,1176.6,103.08,0.7836,
toshima1-2,12,folded_half,26.83,18.8,395.5,37.6,791.0,98.13,0.7841,
toshima1-2,13,folded_half,33.1,24.09,554.4,48.18,1108.8,87.88,0.6953,
toshima1-2,14,folded_half,24.6,22.12,376.1,44.24,752.2,101.42,0.6912,
toshima1-2,15,folded_half,32.58,28.26,697.0,56.52,1394.0,85.1,0.757,
toshima1-2,16,folded_half,29.99,24.51,538.0,49.02,1076.0,91.77,0.7318,
toshima1-2,17,folded_half,28.18,26.79,559.3,53.58,1118.6,88.15,0.7409,
toshima2-3,1,folded_half,28.98,22.84,544.0,45.68,1088.0,88.28,0.822,
toshima2-3,2,folded_half,33.78,24.21,643.2,48.42,1286.4,90.0,0.7862,roi_area_reconstructed
toshima2-3,3,folded_half,30.49,23.01,504.9,46.02,1009.8,101.31,0.7196,
toshima2-3,4,folded_half,22.41,18.51,303.8,37.02,607.6,79.52,0.7328,
toshima2-3,5,folded_half,20.21,15.43,245.6,30.86,491.2,87.14,0.7874,
toshima2-3,6,folded_half,35.64,22.86,638.1,45.72,1276.2,90.0,0.7831,
toshima2-3,7,folded_half,34.62,22.2,613.8,44.4,1227.6,89.38,0.7987,
toshima2-3,8,folded_half,36.31,22.94,632.4,45.88,1264.8,78.76,0.7593,
toshima2-3,9,folded_half,36.15,25.15,650.9,50.3,1301.8,90.0,0.716,
toshima2-3,10,folded_half,28.17,22.69,483.8,45.38,967.6,95.4,0.7567,
toshima2-3,11,folded_half,27.76,21.48,425.1,42.96,850.2,98.04,0.7131,
toshima2-3,12,folded_half,28.76,24.08,510.9,48.16,1021.8,96.42,0.7376,
toshima2-3,13,folded_half,29.26,24.19,502.3,48.38,1004.6,102.67,0.7095,
toshima2-3,14,folded_half,31.41,25.01,576.7,50.02,1153.4,75.68,0.7341,
