island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Kozushima,4,kozu1,1,,,,,1,321,1160,3,1,shimask_red_outline_from_raw_difference,29.97,20.83,0.695,,check,,478.8,9.823,2.034,96,19.884,0.989,1,0.102,1,6.52,17.84,5,0.898,1.35,,86,10,0,1.663,0.371,0.1023,0.0506,1.0336,0.0,207,128.866,26.691,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.096,20.404,482.823,8.78,21.231,20.319,17.854,9.692,6.468,32.855,0.3046,2.0965,1.1892,2.409,1.35,0.2917,0.9958,0.4986,4,opened_or_broad,flat_span_over_pi,0.1347,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,2,848,1154,2,1,shimask_red_outline_from_raw_difference,29.97,21.76,0.726,,check,,482.2,29.273,6.021,147,30.236,0.983,1,0.053,0,6.36,21.11,5,0.884,1.24,,132,15,1,5.116,0.905,0.1991,0.1012,3.0213,0.0,258,174.127,35.816,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.096,21.339,486.271,7.404,22.607,19.639,20.999,8.162,6.251,30.692,0.2765,2.4062,1.0766,7.191,2.651,0.246,0.9203,0.4883,5,opened_or_broad,flat_span_over_pi,0.263,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,3,1437,1051,1,1,shimask_red_outline_from_raw_difference,26.33,17.02,0.646,,check,,331.7,62.883,18.804,121,36.183,0.945,1,0.017,0,10.03,16.45,2,0.91,1.51,,103,18,5,16.779,2.025,0.5197,0.094,15.0412,0.0,334,132.126,39.51,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,26.44,16.536,334.42,8.266,18.089,16.238,14.283,9.777,5.169,20.983,0.2857,1.6609,1.2665,19.169,17.999,0.3126,0.982,0.4577,2,opened_or_broad,flat_span_over_pi,0.1805,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,4,410,1489,6,1,shimask_red_outline_from_raw_difference,29.21,17.36,0.594,,check,,375.2,20.78,5.493,118,31.192,0.916,1,0.019,0,8.57,18.23,1,0.88,1.67,,106,12,1,4.887,0.606,0.1761,0.0506,3.4694,0.0,237,77.396,20.459,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,29.331,16.561,378.315,9.191,20.055,16.153,15.218,13.943,5.142,20.764,0.2564,1.1585,1.3179,5.428,5.876,0.3133,0.9754,0.4686,1,opened_or_broad,flat_span_over_pi,0.0284,guide_density_secondary,profile_fallback,orientation|sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,5,1446,1445,4,1,shimask_red_outline_from_raw_difference,23.54,16.26,0.691,,check,,293.0,8.941,3.026,69,23.352,0.863,1,0.013,0,4.37,15.37,6,0.906,1.42,,67,2,0,2.236,0.79,0.1296,0.0651,1.4094,0.0,169,54.932,18.591,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,23.635,15.898,295.462,6.821,16.729,12.838,15.898,10.032,4.086,13.115,0.2443,1.2797,1.0523,3.949,0.664,0.2886,0.8075,0.4606,6,opened_or_broad,flat_span_over_pi,0.4833,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,6,931,1532,5,1,shimask_red_outline_from_raw_difference,31.67,22.27,0.703,,check,,549.9,35.576,6.417,165,29.76,0.954,1,0.035,0,6.09,20.41,7,0.887,1.31,,152,13,0,5.358,1.059,0.2156,0.1229,1.8937,0.0,412,182.475,32.912,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,31.796,22.189,554.473,9.423,22.288,20.744,19.724,11.817,6.603,34.244,0.2963,1.7554,1.13,6.925,5.318,0.2964,0.9349,0.4793,7,opened_or_broad,flat_span_over_pi,0.2136,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,7,356,1857,7,1,shimask_red_outline_from_raw_difference,30.82,22.18,0.72,,check,,512.1,69.496,13.458,155,30.016,0.95,1,0.015,0,13.26,20.28,2,0.88,1.37,,141,14,4,11.715,1.743,0.4484,0.1301,14.7232,0.0,546,159.541,30.895,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,30.946,21.582,516.397,8.819,22.043,22.274,18.874,17.003,7.09,39.482,0.3217,1.31,1.1679,13.937,12.071,0.285,1.0321,0.4386,2,opened_or_broad,flat_span_over_pi,0.2342,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,8,1041,1941,9,1,shimask_red_outline_from_raw_difference,31.83,23.2,0.729,,check,,588.1,16.783,2.831,142,23.949,0.949,1,0.061,0,6.12,20.99,8,0.87,1.28,,138,4,0,2.397,0.434,0.1182,0.0651,0.6794,0.0,348,119.282,20.117,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,31.966,22.955,592.969,9.089,22.792,22.019,21.509,13.603,7.009,38.583,0.3075,1.6188,1.0597,2.934,2.717,0.2843,0.9593,0.4777,8,opened_or_broad,flat_span_over_pi,0.2794,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,9,1576,1874,8,1,shimask_red_outline_from_raw_difference,28.11,20.07,0.714,,check,,436.4,4.828,1.097,77,17.499,0.9,1,0.143,1,5.9,25.21,6,0.872,1.35,,76,1,0,0.997,0.1,0.0627,0.0217,0.5999,0.0,161,88.99,20.224,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,28.226,19.554,440.085,7.868,20.273,19.554,18.194,18.704,6.224,30.427,0.307,1.0455,1.1143,1.352,0.487,0.2787,1.0,0.464,4,opened_or_broad,flat_span_over_pi,0.2741,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
Kozushima,4,kozu1,1,,,,,10,376,2221,10,1,shimask_red_outline_from_raw_difference,27.77,20.07,0.723,,check,,419.4,21.445,5.071,122,28.851,0.945,1,0.067,0,5.47,18.14,7,0.883,1.38,,116,6,0,4.109,0.962,0.1758,0.0903,1.7708,0.0,258,115.104,27.22,raw_scan_two_stage_reviewed_ruler_scale,ruler_1cm_ticks,ok,0.085017,117.6235,0.00421,12,10,818,223.34|341.50|576.82|695.23|812.68|930.98|1047.89|1165.89|1283.05|1400.50|1517.71|1635.50,27.886,19.354,422.868,8.049,19.751,18.109,17.173,12.583,5.764,26.095,0.2918,1.4392,1.1501,6.214,2.423,0.2887,0.9356,0.4691,7,opened_or_broad,flat_span_over_pi,0.4325,guide_density_secondary,profile_fallback,sinus,,,auto_unreviewed
