island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Niijima,niijima1~2,1,127,123,4,3,38.76,6.642,6.188,0.453,21.762,0.3052,0.086,7.4695,0.0,1,348,177.821,30.47,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,2,132,124,8,5,69.211,10.15,9.548,0.602,19.358,0.5243,0.1147,10.6165,0.0,1,446,202.638,29.717,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,3,92,71,21,4,184.724,31.683,29.928,1.756,15.78,2.0079,0.0824,106.4156,0.0,1,550,267.469,45.876,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,4,23,23,0,0,2.351,0.472,0.472,0.0,4.618,0.1022,0.043,0.3943,0.0,0,0,2.351,0.472,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,5,18,18,0,0,0.889,0.155,0.155,0.0,3.136,0.0494,0.0251,0.1935,0.0,0,0,0.889,0.155,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,6,17,17,0,0,0.968,0.156,0.156,0.0,2.745,0.0569,0.0287,0.3513,0.0,0,0,0.968,0.156,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,7,24,24,0,0,1.254,0.209,0.209,0.0,4.004,0.0523,0.0394,0.3369,0.0,0,0,1.254,0.209,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,8,16,16,0,0,1.054,0.2,0.2,0.0,3.039,0.0659,0.0323,0.3513,0.0,0,0,1.054,0.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,9,18,18,0,0,0.875,0.2,0.2,0.0,4.121,0.0486,0.0394,0.1362,0.0,0,0,0.875,0.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,10,91,67,24,2,239.648,32.942,30.421,2.522,12.509,2.6335,0.1075,180.0285,0.0,1,679,323.598,44.482,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,11,83,67,16,4,143.14,25.201,23.97,1.231,14.613,1.7246,0.0932,105.964,0.0,1,515,222.337,39.144,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,12,94,89,5,2,28.688,5.582,5.062,0.52,18.289,0.3052,0.0502,5.6487,0.0,1,253,133.469,25.969,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,13,97,90,7,4,70.215,15.577,14.353,1.225,21.52,0.7239,0.1362,19.6774,0.0,1,364,179.175,39.75,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,14,77,69,8,4,130.244,25.595,24.173,1.421,15.132,1.6915,0.0789,90.1289,0.0,1,458,215.419,42.333,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,15,74,53,21,2,148.15,31.271,28.744,2.527,15.62,2.002,0.1219,128.4801,0.0,1,471,225.032,47.499,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,16,81,61,20,1,125.548,27.823,25.506,2.318,17.951,1.55,0.0717,109.6845,0.0,1,478,204.208,45.256,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
Niijima,niijima1~2,17,72,60,12,1,420.695,32.089,31.04,1.049,5.492,5.843,0.1004,409.0174,0.0,1,668,489.39,37.329,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53
