island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Niijima,3,niijima1~2,,1|2,,,,1,325,1189,3,1,shimask_red_outline_from_raw_difference,35.48,24.3,0.685,,check,,583.6,38.76,6.642,127,21.762,0.943,1,0.284,1,4.8,24.95,4,0.869,1.39,,123,4,3,6.188,0.453,0.3052,0.086,7.4695,0.0,348,177.821,30.47,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.475,23.876,583.591,11.304,24.087,22.267,23.283,19.473,7.088,39.457,0.2943,1.1435,1.0345,7.329,2.243,0.3186,0.9326,0.3467,4,opened_or_broad,flat_span_over_pi,0.1684,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,2,781,1170,2,1,shimask_red_outline_from_raw_difference,35.81,25.48,0.712,,check,,681.9,69.211,10.15,132,19.358,0.908,1,0.155,1,14.98,25.46,2,0.9,1.37,,124,8,5,9.548,0.602,0.5243,0.1147,10.6165,0.0,446,202.638,29.717,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.814,25.4,681.87,7.333,28.396,18.881,24.384,19.135,6.01,28.368,0.2116,0.9867,1.1645,8.722,23.55,0.2048,0.7433,0.5246,3,opened_or_broad,flat_span_over_pi,0.2118,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,3,1225,1141,1,1,shimask_red_outline_from_raw_difference,31.41,24.81,0.79,,check,,583.0,184.724,31.683,92,15.78,0.962,1,0.01,0,12.61,25.32,3,0.902,1.31,,71,21,4,29.928,1.756,2.0079,0.0824,106.4156,0.0,550,267.469,45.876,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.411,24.596,583.024,6.006,25.321,19.812,22.352,16.849,6.306,31.235,0.2491,1.1759,1.1328,31.838,30.55,0.1912,0.8055,0.3996,3,opened_or_broad,flat_span_over_pi,0.2924,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,4,383,1673,6,1,shimask_red_outline_from_raw_difference,30.99,22.69,0.732,,check,,498.0,2.351,0.472,23,4.618,0.863,0,0.066,0,6.23,18.72,5,0.922,1.24,,23,0,0,0.472,0.0,0.1022,0.043,0.3943,0.0,0,2.351,0.472,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,30.988,22.521,498.021,5.578,25.326,18.288,19.727,13.208,5.821,26.615,0.2299,1.3846,1.2838,0.441,0.877,0.18,0.812,0.6327,3,opened_or_broad,flat_span_over_pi,0.2125,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,5,819,1649,5,1,shimask_red_outline_from_raw_difference,33.36,27.52,0.825,,check,,574.0,0.889,0.155,18,3.136,0.585,0,0.002,0,13.85,22.01,2,0.894,1.12,,18,0,0,0.155,0.0,0.0494,0.0251,0.1935,0.0,0,0.889,0.155,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.359,27.009,573.913,9.112,24.162,20.997,22.606,11.769,6.684,35.085,0.2766,1.7842,1.0688,0.135,0.319,0.2732,0.7774,0.5911,3,opened_or_broad,flat_span_over_pi,0.1462,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,6,1282,1618,4,1,shimask_red_outline_from_raw_difference,35.22,25.99,0.738,,check,,619.3,0.968,0.156,17,2.745,0.605,0,0.006,0,13.42,23.22,2,0.899,1.21,,17,0,0,0.156,0.0,0.0569,0.0287,0.3513,0.0,0,0.968,0.156,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.221,25.823,619.361,7.33,27.807,20.489,22.691,13.801,6.522,33.408,0.2345,1.4847,1.2255,0.136,0.533,0.2081,0.7934,0.6784,3,opened_or_broad,flat_span_over_pi,0.2674,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,7,270,2120,9,1,shimask_red_outline_from_raw_difference,31.41,25.15,0.801,,check,,599.4,1.254,0.209,24,4.004,0.981,0,0.004,0,6.85,21.14,4,0.891,1.23,,24,0,0,0.209,0.0,0.0523,0.0394,0.3369,0.0,0,1.254,0.209,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,31.411,24.892,599.454,5.515,25.812,21.167,22.86,17.018,6.738,35.653,0.261,1.2438,1.1291,0.111,1.292,0.1756,0.8503,0.7335,3,opened_or_broad,flat_span_over_pi,0.2876,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,8,797,2113,7,1,shimask_red_outline_from_raw_difference,33.44,24.89,0.744,,check,,526.4,1.054,0.2,16,3.039,0.454,0,0.001,0,12.5,23.88,3,0.928,1.06,,16,0,0,0.2,0.0,0.0659,0.0323,0.3513,0.0,0,1.054,0.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,33.443,24.663,526.429,10.141,23.218,20.151,21.082,14.478,6.414,32.312,0.2763,1.3918,1.1013,0.237,0.137,0.3032,0.817,0.5866,4,opened_or_broad,flat_span_over_pi,0.1366,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,9,1148,2101,10,1,shimask_red_outline_from_raw_difference,27.26,22.61,0.829,,check,,436.8,0.875,0.2,18,4.121,0.299,0,0.004,0,5.96,17.71,4,0.938,1.19,,18,0,0,0.2,0.0,0.0486,0.0394,0.1362,0.0,0,0.875,0.2,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,27.263,22.517,436.824,3.454,23.724,14.732,20.066,13.377,4.689,17.271,0.1977,1.1013,1.1823,0.117,2.333,0.1267,0.6543,0.8147,3,opened_or_broad,flat_span_over_pi,0.1803,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima1~2,,1|2,,,,10,1594,2134,8,1,shimask_red_outline_from_raw_difference,35.73,32.26,0.903,,check,,727.5,239.648,32.942,91,12.509,0.91,1,0.034,0,19.73,24.21,2,0.893,1.05,,67,24,2,30.421,2.522,2.6335,0.1075,180.0285,0.0,679,323.598,44.482,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,1,0,817,201.53,35.729,32.089,727.533,11.433,24.212,30.988,25.061,15.579,9.864,76.415,0.4074,1.9891,0.9661,38.585,11.299,0.32,0.9657,0.383,3,opened_or_broad,flat_span_over_pi,0.2251,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
