island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,1,302.0,1015.5,0.0143,0.1351,weak_recovered,0.0,5.0,5.0,0.0,,
Niijima,niijima2,1,2,260.0,1025.5,0.0143,0.1351,weak_recovered,0.0,1.0,1.0,0.0,,
Niijima,niijima2,1,3,309.66,1075.8,3.0968,1.9857,mixed,0.977,8.836,9.0,0.0,check,
Niijima,niijima2,1,4,292.37,1077.73,0.6452,0.9063,mixed,0.978,6.389,5.5,0.0,,
Niijima,niijima2,1,5,269.0,1082.05,0.4158,0.7276,mixed,0.914,7.69,8.0,0.0,,
Niijima,niijima2,1,6,261.25,1090.25,0.0287,0.1911,weak_recovered,0.0,1.0,1.0,0.0,,
Niijima,niijima2,1,7,278.58,1090.53,0.2581,0.5732,strong,1.0,8.889,9.0,0.0,,
Niijima,niijima2,1,8,318.57,1094.16,1.4767,1.3712,mixed,0.981,11.874,11.0,0.0,,
Niijima,niijima2,1,9,194.75,1097.51,0.8172,1.02,mixed,0.965,9.535,10.0,0.0,,
Niijima,niijima2,1,10,289.81,1098.48,0.6452,0.9063,mixed,0.989,11.189,11.0,0.0,,
Niijima,niijima2,1,11,298.87,1108.62,0.6452,0.9063,mixed,0.989,11.589,13.0,0.0,,
Niijima,niijima2,1,12,201.0,1113.4,0.0358,0.2136,strong,1.0,3.2,3.0,0.0,,
Niijima,niijima2,1,13,204.33,1114.33,0.0215,0.1655,weak_recovered,0.0,10.667,10.0,0.0,,
Niijima,niijima2,1,14,314.79,1115.94,1.448,1.3578,mixed,0.985,12.99,12.0,0.0,,
Niijima,niijima2,1,15,174.5,1120.5,0.0573,0.2702,strong,1.0,9.0,8.5,0.0,,
Niijima,niijima2,1,16,254.0,1120.94,0.1147,0.3821,mixed,0.875,10.0,10.0,0.0,,
Niijima,niijima2,1,17,283.94,1121.59,0.1219,0.3939,strong,1.0,3.647,3.0,0.0,,
Niijima,niijima2,1,18,300.1,1121.8,0.0717,0.3021,strong,1.0,3.4,3.0,0.0,,
Niijima,niijima2,1,19,330.42,1125.11,0.5663,0.8491,strong,1.0,6.937,7.0,0.0,,
Niijima,niijima2,1,20,145.36,1131.26,2.0072,1.5986,mixed,0.8,17.071,16.0,0.0,,
Niijima,niijima2,1,21,314.24,1133.07,0.3943,0.7085,mixed,0.982,8.073,8.0,0.0,,
Niijima,niijima2,1,22,175.23,1134.92,0.3799,0.6955,mixed,0.792,12.264,11.0,0.0,,
Niijima,niijima2,1,23,293.25,1138.56,0.1147,0.3821,strong,1.0,3.812,4.0,0.0,,
Niijima,niijima2,1,24,322.82,1141.45,0.4731,0.7761,mixed,0.985,6.97,7.0,0.0,,
