island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Niijima,3,niijima2,2,,,,,1,252,1182,1,1,shimask_red_outline_from_raw_difference,30.31,25.99,0.857,,check,,569.9,156.674,27.489,84,14.738,0.938,1,0.034,0,15.58,24.56,3,0.885,1.16,,54,30,4,25.312,2.177,1.8652,0.1219,111.6056,0.0,529,225.806,39.619,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.311,25.908,569.92,5.67,24.556,24.469,22.352,15.917,7.789,47.644,0.3172,1.5372,1.0986,28.664,17.135,0.1871,0.9444,0.425,3,opened_or_broad,flat_span_over_pi,0.3125,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,2,763,1222,3,1,shimask_red_outline_from_raw_difference,30.4,23.96,0.788,,check,,533.2,148.021,27.761,102,19.13,0.883,1,0.019,0,5.31,25.23,4,0.886,1.25,,45,57,7,24.417,3.344,1.4512,0.1111,87.3404,0.0,521,223.39,41.896,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.395,23.876,533.254,3.918,26.393,13.123,21.675,15.917,4.177,13.705,0.1583,0.8245,1.2177,28.623,0.496,0.1289,0.5496,0.4085,4,opened_or_broad,flat_span_over_pi,0.3025,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,3,1172,1233,2,1,shimask_red_outline_from_raw_difference,32.0,23.54,0.736,,check,,546.0,126.208,23.117,77,14.104,0.894,1,0.066,0,5.98,27.76,5,0.909,1.36,,56,21,3,22.092,1.024,1.6391,0.0717,101.025,0.0,448,209.412,38.356,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,32.004,23.453,545.971,3.84,28.079,18.288,20.405,12.107,5.821,26.615,0.2073,1.5105,1.3761,24.528,0.229,0.12,0.7798,0.3656,5,opened_or_broad,flat_span_over_pi,0.1853,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,4,287,1651,4,1,shimask_red_outline_from_raw_difference,40.13,33.1,0.825,,check,,916.9,26.308,2.869,48,5.235,0.934,1,0.062,0,8.73,24.62,6,0.907,1.19,,44,4,2,2.652,0.217,0.5481,0.2294,6.5806,0.0,324,84.616,9.228,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,40.132,32.766,916.938,6.438,33.609,22.183,28.194,18.203,7.061,39.158,0.2101,1.2186,1.1921,3.089,0.179,0.1604,0.677,0.4916,4,opened_or_broad,flat_span_over_pi,0.1931,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,5,1233,1692,6,1,shimask_red_outline_from_raw_difference,32.85,29.13,0.887,,check,,679.0,36.265,5.341,117,17.23,0.941,1,0.083,0,16.66,27.49,3,0.904,1.1,,101,16,2,4.645,0.696,0.31,0.086,4.7168,0.0,324,147.813,21.768,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,32.851,28.702,679.039,5.275,27.491,26.162,23.791,16.256,8.328,54.467,0.3029,1.6094,1.1555,4.94,9.584,0.1606,0.9115,0.4003,3,opened_or_broad,flat_span_over_pi,0.2201,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,6,743,1875,5,1,shimask_red_outline_from_raw_difference,76.03,33.61,0.442,check,check,,1697.4,197.548,11.639,188,11.076,0.926,1,0.063,0,8.17,63.47,4,0.791,2.25,,163,25,10,10.834,0.805,1.0508,0.1039,44.387,0.0,935,387.118,22.807,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,76.031,33.189,1697.396,21.938,54.008,25.993,33.359,22.013,16.547,215.056,0.3064,1.1808,1.619,9.988,15.732,0.2885,0.7832,0.6495,4,folded_half,2x_flat_span_over_pi,0.1258,shape_end_complexity,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,7,296,2118,7,1,shimask_red_outline_from_raw_difference,35.31,27.77,0.786,,check,,671.3,55.262,8.231,108,16.087,0.962,1,0.381,1,5.2,31.25,5,0.907,1.3,,96,12,3,7.524,0.708,0.5117,0.1004,18.939,0.0,298,185.978,27.702,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,35.306,27.263,671.347,4.237,30.985,17.695,22.013,15.155,5.633,24.918,0.1818,1.1676,1.4075,8.635,0.701,0.12,0.6491,0.3904,5,opened_or_broad,flat_span_over_pi,0.197,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,8,1595,2201,8,1,shimask_red_outline_from_raw_difference,36.91,10.16,0.275,check,check,check,129.6,1.814,1.4,19,14.662,0.809,1,0.131,1,1.0,16.47,4,0.173,1.06,,17,2,0,1.018,0.382,0.0955,0.0573,0.4444,0.0,25,12.91,9.963,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,36.915,7.027,128.107,13.33,23.5,6.858,2.286,3.217,4.366,14.971,0.1858,2.1316,10.2798,2.205,0.168,0.3611,0.9759,0.3777,4,folded_half,2x_flat_span_over_pi,0.873,guide_density_secondary,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,9,1171,2364,9,1,shimask_red_outline_from_raw_difference,63.42,29.21,0.461,check,check,,1378.1,213.584,15.498,287,20.825,0.979,1,0.017,0,7.71,45.64,4,0.834,2.14,,261,26,18,14.27,1.229,0.7442,0.1577,29.0394,0.0,1129,438.43,31.813,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,63.415,28.787,1378.185,14.87,48.461,25.231,28.956,22.352,16.062,202.632,0.3315,1.1288,1.6736,16.67,11.677,0.2345,0.8765,0.4544,4,folded_half,2x_flat_span_over_pi,0.1486,shape_end_complexity,profile_fallback,sinus|folded_mouth_proxy,,,auto_unreviewed
Niijima,3,niijima2,2,,,,,10,251,2575,10,1,shimask_red_outline_from_raw_difference,30.99,27.52,0.888,,check,,642.7,49.692,7.731,112,17.425,0.962,1,0.123,1,15.31,25.47,3,0.89,1.12,,102,10,1,7.063,0.668,0.4437,0.1398,18.1649,0.0,441,177.921,27.681,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50,30.988,27.432,642.752,5.43,25.473,24.045,23.791,16.679,7.654,46.01,0.3005,1.4416,1.0707,8.665,0.425,0.1752,0.8765,0.3586,3,opened_or_broad,flat_span_over_pi,0.2798,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
