island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima10~13,,10|11|12|13,,,,1,447,656,3,1,shimask_red_outline_from_raw_difference,35.14,22.1,0.629,,check,,580.1,183.104,31.563,150,25.857,0.942,1,0.001,0,6.85,29.32,6,0.905,1.52,,109,41,9,26.432,5.131,1.2207,0.1541,59.3476,0.0,834,273.878,47.21,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,35.137,21.929,580.171,4.986,30.066,16.425,19.897,13.716,5.228,21.469,0.1739,1.1975,1.5111,33.526,3.087,0.1419,0.749,0.4423,6,opened_or_broad,flat_span_over_pi,0.1866,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,2,964,645,1,1,shimask_red_outline_from_raw_difference,40.64,26.08,0.642,,check,,809.3,248.2,30.667,244,30.148,0.879,1,0.001,0,5.77,35.53,4,0.93,1.51,,178,66,8,27.522,3.144,1.0172,0.1971,57.7419,0.0,912,339.297,41.922,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.64,25.908,809.361,5.386,35.169,21.844,24.13,16.679,6.953,37.971,0.1977,1.3096,1.4575,32.273,1.496,0.1325,0.8431,0.4416,4,opened_or_broad,flat_span_over_pi,0.22,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,3,1399,661,2,1,shimask_red_outline_from_raw_difference,40.13,26.75,0.667,,check,,856.7,206.731,24.13,276,32.215,0.941,1,0.001,0,7.36,26.08,6,0.942,1.45,,251,25,8,22.534,1.596,0.749,0.2652,50.0645,0.0,1030,310.609,36.255,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.132,26.585,856.787,4.816,35.232,23.622,23.961,19.219,7.519,44.404,0.2134,1.2291,1.4704,25.313,7.891,0.12,0.8885,0.4976,3,opened_or_broad,flat_span_over_pi,0.2052,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,4,449,1179,4,1,shimask_red_outline_from_raw_difference,40.05,27.18,0.679,,check,,862.2,310.638,36.03,206,23.893,0.966,1,0.003,0,7.79,34.94,5,0.967,1.46,,105,101,8,25.763,10.267,1.5079,0.1505,137.0464,0.0,1152,436.301,50.605,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,40.047,27.009,862.178,5.024,34.939,24.469,25.4,16.51,7.789,47.644,0.2229,1.4821,1.3756,37.252,20.007,0.1254,0.906,0.4883,5,opened_or_broad,flat_span_over_pi,0.111,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,5,932,1204,5,1,shimask_red_outline_from_raw_difference,37.17,27.86,0.75,,check,,815.2,262.989,32.259,225,27.6,0.957,1,0.002,0,15.47,32.4,3,0.936,1.32,,118,107,7,24.897,7.362,1.1688,0.129,62.5232,0.0,1198,386.473,47.406,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,37.169,27.347,815.275,4.681,32.403,24.299,25.4,18.203,7.735,46.987,0.2387,1.3349,1.2757,33.246,20.018,0.1259,0.8885,0.4789,3,opened_or_broad,flat_span_over_pi,0.153,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,6,1499,1311,6,1,shimask_red_outline_from_raw_difference,38.35,24.72,0.645,,check,,724.1,265.856,36.716,145,20.025,0.982,1,0.0,0,6.39,28.14,6,0.949,1.54,,102,43,14,27.898,8.818,1.8335,0.2939,48.4085,0.0,1106,333.448,46.05,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,38.354,24.638,724.114,4.602,33.667,17.357,23.029,15.494,5.525,23.973,0.1641,1.1202,1.4619,37.769,15.206,0.12,0.7045,0.5261,3,opened_or_broad,flat_span_over_pi,0.1678,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,7,1907,1419,7,1,shimask_red_outline_from_raw_difference,41.06,25.57,0.623,,check,,799.3,272.243,34.059,155,19.391,0.95,1,0.025,0,6.66,29.52,5,0.94,1.52,,102,53,7,28.317,5.742,1.7564,0.3728,93.3906,0.0,1152,365.498,45.725,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,41.063,25.383,799.311,9.638,31.341,19.727,25.146,19.643,6.279,30.969,0.2004,1.0043,1.2464,33.338,38.039,0.2347,0.7772,0.478,5,opened_or_broad,flat_span_over_pi,0.054,guide_density_secondary,profile_fallback,orientation|sinus,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,8,398,1677,8,1,shimask_red_outline_from_raw_difference,25.06,21.0,0.838,,check,,419.2,190.946,45.555,75,17.893,0.983,1,0.001,0,5.82,16.95,4,0.937,1.16,,21,54,4,27.15,18.405,2.5459,0.1362,91.197,0.0,598,232.258,55.411,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,25.061,20.828,419.154,3.007,21.969,19.897,19.05,15.071,6.333,31.503,0.2883,1.3202,1.1532,47.914,10.037,0.12,0.9553,0.49,4,opened_or_broad,flat_span_over_pi,0.173,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,9,904,1701,9,1,shimask_red_outline_from_raw_difference,24.64,20.4,0.828,,check,,394.0,130.803,33.195,124,31.469,0.979,1,0.003,0,12.07,13.82,3,0.917,1.13,,82,42,10,25.382,7.813,1.0549,0.1649,16.2079,0.0,470,198.0,50.248,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,24.638,20.278,394.0,4.083,20.47,17.357,18.627,14.563,5.525,23.973,0.2699,1.1919,1.099,34.479,19.646,0.1657,0.8559,0.4962,3,opened_or_broad,flat_span_over_pi,0.2624,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima10~13,,10|11|12|13,,,,10,1455,1782,10,1,shimask_red_outline_from_raw_difference,31.41,23.2,0.739,,check,,589.0,218.674,37.129,149,25.299,0.995,1,0.024,0,6.66,22.05,8,0.94,1.35,,86,63,8,26.48,10.649,1.4676,0.0932,72.3297,0.0,830,317.785,53.957,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,31.411,23.029,589.01,3.769,27.557,19.981,22.183,16.849,6.36,31.772,0.2308,1.1859,1.2423,37.652,30.44,0.12,0.8676,0.5298,3,opened_or_broad,flat_span_over_pi,0.1877,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
