island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source
Oshima,1,oshima13~15,,13|14|15,,,,1,871,983,2,1,shimask_red_outline_from_raw_difference,32.51,23.79,0.732,,check,,595.8,84.731,14.221,184,30.883,0.979,1,0.015,0,6.41,30.06,4,0.962,1.34,,171,13,6,13.199,1.023,0.4605,0.1326,5.8136,0.0,561,211.534,35.504,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,32.512,23.622,595.77,3.901,28.526,22.267,20.574,12.7,7.088,39.457,0.2485,1.7533,1.3865,15.389,3.84,0.12,0.9427,0.4917,4,opened_or_broad,flat_span_over_pi,0.2162,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,2,1467,980,1,1,shimask_red_outline_from_raw_difference,40.56,30.82,0.76,,check,,914.9,30.194,3.3,209,22.844,0.868,1,0.318,1,16.87,24.31,2,0.902,1.33,,193,16,0,2.935,0.365,0.1445,0.0717,1.5699,0.0,434,271.691,29.696,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,40.555,30.565,914.938,5.795,34.676,28.363,26.924,17.357,9.028,64.018,0.2604,1.6341,1.2879,3.484,1.767,0.1429,0.928,0.4977,3,opened_or_broad,flat_span_over_pi,0.1613,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,3,1902,999,3,1,shimask_red_outline_from_raw_difference,35.9,25.48,0.71,,check,,704.0,88.236,12.534,169,24.006,0.988,1,0.02,0,10.94,30.85,3,0.952,1.3,,161,8,7,11.697,0.837,0.5221,0.1434,9.1684,0.0,583,211.706,30.072,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,35.899,25.315,704.028,4.965,30.849,17.187,24.807,17.441,5.471,23.508,0.1773,0.9854,1.2436,13.162,0.535,0.1383,0.6789,0.419,3,opened_or_broad,flat_span_over_pi,0.1955,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,4,486,1032,4,1,shimask_red_outline_from_raw_difference,34.88,26.92,0.772,,check,,615.7,11.928,1.937,115,18.677,0.861,1,0.47,1,15.47,26.5,2,0.952,1.12,,103,12,0,1.543,0.395,0.1037,0.0573,0.9319,0.0,238,188.552,30.623,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,34.883,26.331,615.705,8.294,26.504,24.299,21.759,13.293,7.735,46.987,0.2918,1.828,1.2181,2.243,0.539,0.2378,0.9228,0.4322,2,opened_or_broad,flat_span_over_pi,0.4641,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,5,476,1569,5,1,shimask_red_outline_from_raw_difference,38.1,29.04,0.762,,check,,880.3,342.172,38.871,217,24.651,0.984,1,0.008,0,7.95,24.15,6,0.965,1.3,,133,84,8,25.836,13.035,1.5768,0.129,207.118,0.0,1909,493.655,56.079,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.1,28.871,880.279,4.572,33.443,28.109,25.739,17.272,8.947,62.877,0.2675,1.6275,1.2993,38.318,44.685,0.12,0.9736,0.5612,8,opened_or_broad,flat_span_over_pi,0.1314,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,6,1176,1629,6,1,shimask_red_outline_from_raw_difference,43.77,31.41,0.718,,check,,1065.1,307.426,28.863,248,23.284,0.983,1,0.124,1,17.03,39.31,3,0.953,1.4,,180,68,12,22.712,6.151,1.2396,0.1649,127.1611,0.0,1415,539.791,50.679,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,43.773,31.327,1065.095,5.253,38.435,29.21,28.617,17.611,9.298,67.897,0.2419,1.6587,1.3431,30.24,12.433,0.12,0.9324,0.4904,3,opened_or_broad,flat_span_over_pi,0.1804,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,7,1706,1668,7,1,shimask_red_outline_from_raw_difference,38.18,26.33,0.69,,check,,816.9,196.408,24.043,369,45.17,0.973,1,0.169,1,14.55,33.64,3,0.936,1.43,,249,120,8,15.799,8.243,0.5323,0.0789,69.8781,0.0,1112,419.06,51.298,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.185,26.247,816.895,4.582,33.518,23.114,25.485,16.256,7.357,42.515,0.2195,1.4219,1.3152,24.478,19.854,0.12,0.8806,0.5006,3,opened_or_broad,flat_span_over_pi,0.2334,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,8,527,2274,8,1,shimask_red_outline_from_raw_difference,43.6,28.7,0.658,,check,,987.9,331.297,33.535,215,21.763,0.947,1,0.017,0,14.45,38.41,3,0.93,1.52,,157,58,9,28.688,4.847,1.5409,0.2007,108.1432,0.0,1372,492.257,49.827,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,43.603,28.389,987.934,5.232,38.286,23.199,26.839,18.542,7.384,42.827,0.1929,1.2511,1.4265,35.188,11.185,0.12,0.8172,0.4798,3,opened_or_broad,flat_span_over_pi,0.2,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,9,1164,2295,9,1,shimask_red_outline_from_raw_difference,42.59,32.17,0.755,,check,,1105.0,354.781,32.107,323,29.231,0.998,1,0.034,0,8.84,38.25,4,0.945,1.32,,224,99,18,26.034,6.073,1.0984,0.1864,110.8099,0.0,1725,552.824,50.029,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,42.587,31.835,1105.017,5.11,37.392,30.48,29.041,20.997,9.702,73.93,0.2595,1.4516,1.2876,33.194,20.807,0.12,0.9574,0.4887,4,opened_or_broad,flat_span_over_pi,0.1987,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
Oshima,1,oshima13~15,,13|14|15,,,,10,444,2956,10,1,shimask_red_outline_from_raw_difference,48.6,27.52,0.566,,check,,1048.3,54.28,5.178,235,22.416,0.956,1,0.045,0,6.95,41.26,5,0.933,1.74,,229,6,0,4.817,0.361,0.231,0.1147,1.9068,0.0,621,227.039,21.657,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,48.599,27.347,1048.357,7.816,40.698,24.215,26.501,18.288,7.708,46.66,0.1894,1.3241,1.5357,5.375,3.228,0.1608,0.8854,0.4083,5,opened_or_broad,flat_span_over_pi,0.2341,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed
