island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,1,820.38,628.87,0.3369,0.655,mixed,0.723,4.936,5.0,0.0,,
Oshima,oshima4,1,2,704.33,654.33,0.0215,0.1655,weak_recovered,0.0,3.0,3.0,0.0,,
Oshima,oshima4,1,3,841.63,656.02,0.3082,0.6265,mixed,0.721,5.744,5.0,0.0,,
Oshima,oshima4,1,4,778.32,669.68,0.4229,0.7338,mixed,0.932,9.322,8.0,0.0,,
Oshima,oshima4,1,5,842.33,670.33,0.0215,0.1655,strong,1.0,2.0,2.0,0.0,,
Oshima,oshima4,1,6,808.02,670.52,0.2867,0.6042,mixed,0.95,5.675,5.5,0.0,,
Oshima,oshima4,1,7,787.93,676.0,0.2939,0.6117,mixed,0.902,3.049,3.0,0.0,,
Oshima,oshima4,1,8,658.84,676.37,0.1362,0.4164,strong,1.0,7.842,8.0,0.0,,
Oshima,oshima4,1,9,863.5,678.5,0.0143,0.1351,mixed,0.5,3.0,3.0,0.0,,
Oshima,oshima4,1,10,644.0,679.5,0.0287,0.1911,weak_recovered,0.0,-0.5,-0.5,0.0,,
Oshima,oshima4,1,11,835.61,680.89,0.2007,0.5055,mixed,0.857,5.679,5.0,0.0,,
Oshima,oshima4,1,12,777.5,683.5,0.0143,0.1351,strong,1.0,4.0,4.0,0.0,,
Oshima,oshima4,1,13,784.12,683.5,0.0573,0.2702,mixed,0.75,3.75,3.5,0.0,,
Oshima,oshima4,1,14,822.6,684.72,0.6953,0.9409,mixed,0.948,7.639,8.0,0.0,,
Oshima,oshima4,1,15,642.0,685.5,0.0143,0.1351,weak_recovered,0.0,-1.0,-1.0,0.0,,
Oshima,oshima4,1,16,708.5,690.0,0.0143,0.1351,strong,1.0,6.0,6.0,0.0,,
Oshima,oshima4,1,17,652.24,691.62,0.4731,0.7761,mixed,0.955,7.955,7.5,0.0,,
Oshima,oshima4,1,18,764.67,692.33,0.0215,0.1655,strong,1.0,4.667,5.0,0.0,,
Oshima,oshima4,1,19,664.38,692.58,0.4588,0.7643,mixed,0.969,8.047,7.0,0.0,,
Oshima,oshima4,1,20,866.93,692.67,0.1935,0.4964,mixed,0.667,4.519,5.0,0.0,,
Oshima,oshima4,1,21,840.62,693.57,0.1505,0.4378,mixed,0.81,4.143,5.0,0.0,,
Oshima,oshima4,1,22,731.67,694.33,0.0215,0.1655,strong,1.0,4.667,2.0,0.0,,
Oshima,oshima4,1,23,735.5,694.5,0.0287,0.1911,strong,1.0,8.5,9.0,0.0,,
Oshima,oshima4,1,24,779.88,695.38,0.6882,0.9361,mixed,0.969,8.708,9.0,0.0,,
Oshima,oshima4,1,25,800.24,699.74,0.6021,0.8756,mixed,0.869,4.857,4.0,0.0,,
Oshima,oshima4,1,26,703.53,700.53,0.1075,0.37,mixed,0.867,7.333,8.0,0.0,,
Oshima,oshima4,1,27,679.71,702.18,0.1219,0.3939,strong,1.0,7.588,8.0,0.0,,
Oshima,oshima4,1,28,831.6,706.8,0.0358,0.2136,mixed,0.4,2.0,1.0,0.0,,
Oshima,oshima4,1,29,653.5,707.0,0.0143,0.1351,strong,1.0,10.0,10.0,0.0,,
Oshima,oshima4,1,30,762.38,707.19,0.8961,1.0681,mixed,0.96,8.376,9.0,0.0,,
Oshima,oshima4,1,31,685.5,707.5,0.0143,0.1351,strong,1.0,6.0,6.0,0.0,,
Oshima,oshima4,1,32,696.44,707.89,1.0681,1.1662,mixed,0.933,7.624,7.0,0.0,,
Oshima,oshima4,1,33,718.25,712.37,4.4731,2.3865,mixed,0.954,9.321,9.0,0.0,check,
Oshima,oshima4,1,34,675.71,714.59,0.1219,0.3939,mixed,0.941,9.294,10.0,0.0,,
Oshima,oshima4,1,35,626.5,716.0,0.0143,0.1351,weak_recovered,0.0,7.0,7.0,0.0,,
Oshima,oshima4,1,36,830.2,719.07,0.1075,0.37,mixed,0.933,4.133,4.0,0.0,,
Oshima,oshima4,1,37,654.48,719.19,1.0036,1.1304,mixed,0.943,8.379,8.0,0.0,,
Oshima,oshima4,1,38,670.82,720.64,0.0789,0.3169,mixed,0.818,6.182,3.0,0.0,,
Oshima,oshima4,1,39,683.71,721.29,0.0502,0.2528,strong,1.0,9.429,9.0,0.0,,
Oshima,oshima4,1,40,642.5,724.0,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Oshima,oshima4,1,41,633.96,724.19,0.4875,0.7878,mixed,0.824,9.897,9.0,0.0,,
Oshima,oshima4,1,42,748.6,730.2,0.0358,0.2136,strong,1.0,6.6,6.0,0.0,,
