island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Toshima,toshima2~3,1,100,96,4,1,27.892,5.127,4.679,0.448,18.381,0.2789,0.1254,4.595,0.0,1,273,103.699,19.061,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,2,25,21,4,0,1.118,1.008,0.679,0.33,22.544,0.0447,0.0287,0.1434,0.0,1,0,1.118,1.008,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,3,55,50,5,0,6.086,1.205,0.995,0.21,10.893,0.1107,0.0358,0.7312,0.0,1,152,47.09,9.327,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,4,44,38,6,0,7.842,2.581,2.164,0.418,14.482,0.1782,0.0717,1.5125,0.0,1,136,32.538,10.709,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,5,88,75,13,2,37.857,15.416,13.168,2.248,35.835,0.4302,0.1505,4.9391,0.0,1,289,78.48,31.958,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,6,245,229,16,8,139.735,21.899,19.09,2.81,38.397,0.5703,0.129,20.9462,0.0,1,720,285.398,44.728,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,7,148,140,8,4,81.814,13.328,12.384,0.945,24.111,0.5528,0.1075,32.6164,0.0,1,397,230.107,37.487,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,8,269,263,6,3,66.774,10.559,9.717,0.842,42.536,0.2482,0.1004,7.5269,0.0,1,528,190.638,30.145,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,9,208,199,9,6,94.459,14.512,13.33,1.182,31.956,0.4541,0.1147,23.6344,0.0,1,666,192.724,29.609,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,10,62,58,4,0,6.638,1.372,1.233,0.139,12.815,0.1071,0.0466,0.5878,0.0,1,156,44.846,9.27,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,11,49,49,0,0,11.147,2.622,2.406,0.216,11.526,0.2275,0.1004,1.5054,0.0,1,115,60.122,14.142,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,12,40,40,0,0,3.283,0.643,0.637,0.006,7.829,0.0821,0.0502,0.5448,0.0,1,0,3.283,0.643,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,13,86,84,2,0,13.29,2.646,2.372,0.274,17.121,0.1545,0.0896,1.0251,0.0,1,232,65.771,13.094,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,14,76,75,1,0,6.258,1.085,1.07,0.015,13.179,0.0823,0.0466,0.4731,0.0,1,178,54.681,9.482,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,15,84,81,3,0,11.477,1.795,1.766,0.029,13.138,0.1366,0.0609,1.7849,0.0,1,217,57.964,9.066,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
Toshima,toshima2~3,16,86,82,4,0,11.584,2.033,1.87,0.164,15.095,0.1347,0.0645,0.9606,0.0,1,219,72.624,12.747,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,635,
